User Tier,Standard - monthly price (per user),Standard MultiInstance - monthly price (per user)
0-10,0,0
11-100,1.4,1.76
101-250,1,1.26
251-1000,0.4,0.5
1001-2500,0.3,0.38
2501-5000,0.2,0.26
5001-7500,0.2,0.26
7501-10000,0.2,0.26
10001-15000,0.1,0.12
15001-20000,0.1,0.12
20001-25000,0.1,0.12
25001-30000,0.1,0.12
30001-35000,0.1,0.12
35001-40000,0.1,0.12
40001-45000,0.1,0.12
45001-50000,0.1,0.12
50001-60000,0.1,0.12
60001-70000,0.1,0.12
70001-80000,0.1,0.12
80001-90000,0.1,0.12
90001-100000,0.1,0.12
